period,COURSETYPE,crs_number,SectionNumber_CE,SectionNumber_ASU,dept,question,response,SubmitDate,eval_username,survey,DummyID
2221C,P,AST 112,10082,10082,CEARTH&SPX,What did you like about the course?,The subject matter and the professor,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001408
2221C,P,AST 112,31036,31036,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,submitting the lab,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - TA LAB,10001408
2221C,P,AST 112,10082,10082,CEARTH&SPX,What do you think are the greatest strengths of this TA?,I didn't even know we had a TA,20220428,akherbst,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001408
2221C,P,AST 112,10082,10082,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,Never heard of her the entire semester,20220428,akherbst,2221C - Spring 2022 - LA - CEARTH&SPX - Primary/w TA,10001408
2221C,P,AST 112,31036,31036,CEARTH&SPX,What did you like about the course?,Working with other students during lab.,20220428,,2221C - Spring 2022 - LA - CEARTH&SPX - TA LAB,10001408
2224B,On-line,AST 111,47666,47666,CEARTH&SPX,What did you like the least about the course?,"Here's a list: 1). This teacher has very unrealistic expectations for a level 111 course. I have taken 2 other astronomy classes and both of them combined has less work than this class. They also HELPED ME LEARN something. 2). Exams don't seem to correlate with homework. Why do I need to spend 4 hours on one lab when the stuff on the lab isn't even on the exam? 3). Videos provided do not contribute to anything else in the course, seemingly. Huge waste of time. 4). Yellowdig topics are somewhat irrelevant. They were interesting, but I don't think the exams covered topics that were discussed in Yellowdig posts. 5). Why is every module locked? If I have time to work ahead, why not let me work ahead? Why do I have to wait for a certain day to do homework? What if I do not have time that day? I work full time at one job and part time at another. I don't see how locking every single module is helpful. 6). Teacher is unresponsive, generally. I think throughout this entire course she responded to me one time. The TA was a helpful substitute. 7). There is such a large amount of homework it is almost impossible to study for exams if you work. I get that this is a summer class and that it is fast paced, but I've taken summer classes throughout all of college and I've never struggled this much. I took two calculus classes last summer and I had an easier time with those than I did in this class. I think I got a 66 on the first exam and that was with studying for a few hours. I did not have time to study for exam 2 and I received a 28 or something like that. I don't remember. It is 8/3 as I am writing this and I have yet to take the final. We'll see how that goes. In summary, this teacher has very unrealistic expectations for a level 111 Astronomy class. I would NOT take this class again. I am a very diligent student and I have never struggled in school, even WITH working two jobs.",20220803,,2224B - Summer 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001653
2224B,On-line,AST 111,47666,47666,CEARTH&SPX,In what specific ways could the TA improve his/her teaching effectiveness?,I think he could provide better explanations for online work.,20220803,atware,2224B - Summer 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001653
2224B,On-line,AST 111,47666,47666,CEARTH&SPX,What do you think are the greatest strengths of this TA?,"He was definitely more prompt than the teacher, I'll say that.",20220803,atware,2224B - Summer 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001653
2224B,On-line,AST 111,47666,47666,CEARTH&SPX,What did you like the most about the course?,I liked that it was organized. I really appreciated the fact that the grades were submitted immediately too.,20220803,,2224B - Summer 2022 - LA - CEARTH&SPX - ASUO/iCourse,10001653
2227C,On-line,AST 111,92696,92696,CEARTH&SPX,What did you dislike about the course? Do you have any suggestions to improve the course?,"I would allow for the class to allow you to work ahead if possible, by a week or two. Sometimes I have more homework in other classes and this way it would allow me to work ahead if I know that I won't have much time the next week or so.",20221201,,2227C - Fall 2022 - LA - CEARTH&SPX - TA LAB,10001621
